n_tokens	arm	n_layers	ms_per_step	ms_per_layer	peak_gib	params_m	tokens_per_s	ms_ratio_vs_transformer	ms_per_layer_ratio_vs_transformer	mem_ratio_vs_transformer
4096	transformer	15	59.3	3.953	1.82	198.6	69073	1.0000	1.0000	1.0000
4096	pinball_full	12	90.5	7.542	1.63	175.1	45260	1.5261	1.9077	0.8956
4096	pinball_windowed	12	73.7	6.142	1.69	191.9	55577	1.2428	1.5535	0.9286
4096	pinball_linear_flexhier	12	80.7	6.725	1.68	181.5	50756	1.3609	1.7011	0.9231
8192	transformer	15	151.6	10.107	2.14	202.8	54037	1.0000	1.0000	1.0000
8192	pinball_full	12	225.3	18.775	2.21	175.1	36360	1.4861	1.8577	1.0327
8192	pinball_windowed	12	125.5	10.458	2.27	191.9	65275	0.8278	1.0348	1.0607
8192	pinball_linear_flexhier	12	131.4	10.950	2.28	181.5	62344	0.8668	1.0834	1.0654
16384	transformer	15	455.9	30.393	2.97	211.2	35938	1.0000	1.0000	1.0000
16384	pinball_full	12	672.7	56.058	3.41	175.1	24356	1.4755	1.8444	1.1481
16384	pinball_windowed	12	261.2	21.767	3.48	191.9	62726	0.5729	0.7162	1.1717
16384	pinball_linear_flexhier	12	273.5	22.792	3.46	181.5	59905	0.5999	0.7499	1.1650
32768	transformer	15	1553.6	103.573	5.11	227.9	21092	1.0000	1.0000	1.0000
32768	pinball_full	12	2222.0	185.167	5.81	175.1	14747	1.4302	1.7878	1.1370
32768	pinball_windowed	12	550.9	45.908	5.87	191.9	59481	0.3546	0.4432	1.1487
32768	pinball_linear_flexhier	12	562.7	46.892	5.84	181.5	58234	0.3622	0.4527	1.1429
