cfg	N	B	tokens	ms_per_step	tokens_per_s	peak_gib
transformer_dna_bidi	2048	16	32768	451.6	72559	4.87
pinball_dna_bidi_windowed	2048	16	32768	544.0	60233	5.92
pinball_dna_bidi_linear_flexhier	2048	16	32768	562.9	58211	5.95
pinball_dna_bidi_full	2048	16	32768	635.2	51589	5.86
transformer_dna_bidi	4096	8	32768	529.6	61876	4.89
pinball_dna_bidi_windowed	4096	8	32768	549.8	59598	5.92
pinball_dna_bidi_linear_flexhier	4096	8	32768	564.3	58065	5.95
pinball_dna_bidi_full	4096	8	32768	740.0	44283	5.86
transformer_dna_bidi	8192	4	32768	676.3	48452	4.92
pinball_dna_bidi_windowed	8192	4	32768	556.2	58909	5.92
pinball_dna_bidi_linear_flexhier	8192	4	32768	564.9	58010	5.95
pinball_dna_bidi_full	8192	4	32768	952.3	34408	5.86
transformer_dna_bidi	16384	2	32768	970.2	33773	4.98
pinball_dna_bidi_windowed	16384	2	32768	560.1	58505	5.93
pinball_dna_bidi_linear_flexhier	16384	2	32768	567.5	57738	5.96
pinball_dna_bidi_full	16384	2	32768	1369.1	23933	5.86
transformer_dna_bidi	32768	1	32768	1557.4	21040	5.11
pinball_dna_bidi_windowed	32768	1	32768	606.9	53994	5.93
pinball_dna_bidi_linear_flexhier	32768	1	32768	613.4	53421	5.98
pinball_dna_bidi_full	32768	1	32768	2254.3	14536	5.87
